epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.6923481225967407,0.9278590048736257,0.9522041207474844,0.9009407231100532,0.9258633742938676,0.9786278891569717
2,0.6852191686630249,0.5146208772526352,0.5074214704867104,0.999659979598776,0.6731539782484258,0.953042249972378
3,0.6771804094314575,0.6070497563187125,0.5600788753896062,0.9979598775926556,0.717486962190352,0.9547744348283247
4,0.6657484769821167,0.8594582341607163,0.7947764662143322,0.9691714836223507,0.8733530793585946,0.9579424283761457
5,0.6500913500785828,0.8399637311572028,0.7832656530361696,0.9400430692508217,0.8545229754790851,0.9410425062241049
6,0.6281571388244629,0.7873739091012127,0.7119097367321354,0.9654312592088858,0.8195112564941313,0.9146842773315276
7,0.6036173105239868,0.8171256942083192,0.8024864864864865,0.8413238127620991,0.8214463564433132,0.9229443747357019
8,0.5790541172027588,0.810098605916355,0.7842302098483275,0.8556046696135101,0.8183641389777224,0.917527415164499
9,0.5510167479515076,0.8222260002266802,0.812280316344464,0.838150289017341,0.8250125509008758,0.9258418382431141
10,0.525213897228241,0.8467641391816842,0.8560456185267078,0.8337300238014281,0.8447404685346808,0.9406486739878767
11,0.49792706966400146,0.8664286523858098,0.8360008314279775,0.9117080358154822,0.8722146923285443,0.947397543916861
12,0.469666451215744,0.8852997846537459,0.9679284239504473,0.7970078204692281,0.8741919443063153,0.970295378930186
13,0.48218899965286255,0.8642751898447241,0.802010900206728,0.9673580414824889,0.8769586437194965,0.957883780027444
14,0.45899948477745056,0.8968604782953644,0.8581364426715762,0.9509237220899921,0.9021505376344086,0.9669318823227018
15,0.42911219596862793,0.9149382296271109,0.9662506367804381,0.8599115946956818,0.9099850074962519,0.9739007204915275
16,0.4401340186595917,0.9268389436699536,0.9478002378121284,0.9034342060523631,0.9250855915975164,0.9745722700972849
17,0.40991729497909546,0.9016207639125015,0.8594177908509991,0.9603309531905247,0.9070763301573708,0.9731175585371344
18,0.4013611972332001,0.8979372095659073,0.8507492507492508,0.9652045789414031,0.9043699888493602,0.9736570642536561
19,0.4060889482498169,0.9322792700895387,0.9228381374722838,0.9434432732630624,0.9330269573502213,0.9763057523978093
20,0.36855781078338623,0.933639351694435,0.9627479438800194,0.9021874645812082,0.9314844069978351,0.9766518553733647
